countyfips,date,mobility,yoy_change,year,month,yearmonth,day,Date
24031,2020-02-26 00:00:00,-2.0,,2020,02,2020-02,26,2020-02-26
24033,2020-02-26 00:00:00,71.0,,2020,02,2020-02,26,2020-02-26
24037,2020-02-26 00:00:00,95.5,,2020,02,2020-02,26,2020-02-26
51013,2020-02-26 00:00:00,286.0,,2020,02,2020-02,26,2020-02-26
51059,2020-02-26 00:00:00,357.0,,2020,02,2020-02,26,2020-02-26
51061,2020-02-26 00:00:00,342.5,,2020,02,2020-02,26,2020-02-26
51107,2020-02-26 00:00:00,500.0,,2020,02,2020-02,26,2020-02-26
51153,2020-02-26 00:00:00,-284.5,,2020,02,2020-02,26,2020-02-26
51187,2020-02-26 00:00:00,493.0,,2020,02,2020-02,26,2020-02-26
51510,2020-02-26 00:00:00,57.0,,2020,02,2020-02,26,2020-02-26
51610,2020-02-26 00:00:00,-93.0000000133,,2020,02,2020-02,26,2020-02-26
51683,2020-02-26 00:00:00,157.0,,2020,02,2020-02,26,2020-02-26
11001,2020-02-27 00:00:00,-128.5,,2020,02,2020-02,27,2020-02-27
24009,2020-02-27 00:00:00,100.0,,2020,02,2020-02,27,2020-02-27
24017,2020-02-27 00:00:00,286.0,,2020,02,2020-02,27,2020-02-27
24021,2020-02-27 00:00:00,207.0,,2020,02,2020-02,27,2020-02-27
24031,2020-02-27 00:00:00,-2.0,,2020,02,2020-02,27,2020-02-27
24033,2020-02-27 00:00:00,92.5,,2020,02,2020-02,27,2020-02-27
24037,2020-02-27 00:00:00,400.0,,2020,02,2020-02,27,2020-02-27
51013,2020-02-27 00:00:00,429.0,,2020,02,2020-02,27,2020-02-27
