median_listing_price,active_listing_count,netinflow,zipcode
1215744.0073197659,89.60452974493381,23.469770581403623,20007
1336181.7631577572,90.9557314017751,-30.66760291265257,20007
1419876.4201639919,93.61404202845318,-91.77958138118413,20007
1438266.3746053998,96.34143084101889,-119.55022270296058,20007
1405493.4895123984,99.74788946882194,-121.68652275473266,20007
1356726.4982469599,103.46883090730029,-114.64688981835258,20007
1318918.7720999774,106.45496957031202,-106.59294651839389,20007
1301112.0602438883,108.01075093030326,-98.92925509358076,20007
1299995.5414099656,108.17624586689082,-91.68455566637329,20007
1308336.7563847383,107.46275280936118,-85.65876259272306,20007
1319860.9312357167,106.44573404131106,-81.83670275601139,20007
1330540.0246642474,105.52869229374552,-80.48366983068371,20007
1191628.5758304507,15.325266947433436,16.847547083940526,20015
1086574.470077173,20.03434636256327,2.420824515317877,20015
1040771.6499073186,21.52035498037714,0.3433483133261692,20015
1069586.9487129692,21.39101377110083,7.483174501624916,20015
1100874.5885240522,21.201234900711935,11.69927366899238,20015
1104507.1345195714,21.13299284809016,10.889509068803392,20015
1097542.4813357622,20.973998107217966,9.274235889819064,20015
1095721.4216570912,20.774552130777714,9.02958693033964,20015
1097743.9497111635,20.678543832233572,9.376571316200028,20015
1098364.4615261354,20.692787859859266,9.418837639005968,20015
1097248.2928794704,20.735525322514363,9.236243811960907,20015
1096423.5665282982,20.757631175512987,9.160177501441101,20015
615685.9795976762,15.823584684901824,9.362716118393752,20151
609660.3066973824,17.667625841172413,10.827493590576456,20151
607062.2066261675,18.925378144902645,11.760174969527114,20151
606250.3606729112,19.80762005501821,12.376834596974676,20151
606319.8242870534,20.44248040401937,12.796386150495081,20151
606783.0425359773,20.909681824442146,13.089886512179792,20151
607384.448766247,21.26003017090824,13.300575922120107,20151
607996.0360630256,21.526776898611217,13.45530128531485,20151
608558.8433374097,21.732306414670806,13.571128406012319,20151
609050.3811243782,21.892118711368312,13.659195706381812,20151
609466.6694272622,22.017237235338776,13.72698005118469,20151
609812.47283429,22.115692107152295,13.779644368712406,20151
1151741.1389846164,21.296508217205762,23.20363350651236,22124
1077674.1137781797,29.21413662777575,3.884655880545438,22124
1062428.190883648,35.6477556105951,18.360088887965365,22124
1018317.9032292576,42.37919340485572,13.308630758791772,22124
1007465.1253881971,46.52611764818874,17.773271077342322,22124
990656.6841009564,49.09769989009294,16.113812394331063,22124
987976.6006725865,49.70570257290011,16.937564426981986,22124
986316.6540956335,49.20290261019175,16.011709568470792,22124
990006.7709197069,47.96555839772698,15.865884133989738,22124
994073.3981824119,46.580297093721605,15.365605319849251,22124
998862.148377791,45.340418131868766,15.218161160949109,22124
1002552.7052999448,44.45916951135951,15.078959504142553,22124
735198.0147925406,150.80573836471575,-193.34448656378743,20001
739067.0966521548,173.54993452792917,-234.09317972530204,20001
735678.5247752622,180.16540873013287,-240.49002412515102,20001
733029.5435083698,172.98021913716147,-223.59827308428856,20001
734009.4625381998,169.545718825878,-218.87363491833165,20001
735163.75864263,174.33407965891035,-225.00669377525645,20001
734646.7466644621,179.99206866511793,-229.28708032186313,20001
733710.5959367037,181.66687248142398,-227.94651077999626,20001
733410.4871363997,181.53710043275083,-225.42790911072672,20001
733489.7790617808,182.85481509802838,-225.44655010468836,20001
733403.5892053574,185.6031431044077,-226.92290816985394,20001
733071.1113949289,188.1019646485813,-227.57506007016917,20001
649922.7835457965,194.90424771696885,0.8495068980219997,20002
646693.575229501,206.98231156830553,-37.31095656186782,20002
656907.3653262584,233.30116909469658,-90.46827488278409,20002
670631.8527582599,251.71390792645695,-93.40984944642327,20002
673195.8778652109,261.33650198657904,-71.35673995000568,20002
664916.2134525148,262.9078635584315,-64.48831398561337,20002
658357.3349516626,258.4055268854537,-63.600784935827654,20002
656763.8311051743,252.5574034988543,-57.561337660388034,20002
657280.1111453692,250.11166071548047,-51.86728823544129,20002
657925.4265757821,251.79012023703015,-54.64539559128004,20002
659124.7686886565,255.46925729976752,-59.781406651118,20002
660435.1667302576,259.3234256811202,-61.30386917260675,20002
795539.2062015078,79.79751290623906,301.6606767649643,20003
798240.9467434268,77.19485326828577,296.83322893324,20003
800932.36602858,76.46583421609773,301.60000669136207,20003
803988.9822958448,76.28883365871904,301.22901623947644,20003
807038.5399235135,76.35516482013568,301.1813586993226,20003
810126.8718227742,76.50321688527409,300.70685462668234,20003
813218.9498032469,76.68390834666367,300.203155231273,20003
816315.0561592998,76.87627785456144,299.6581755661924,20003
819412.0391645813,77.07312028005634,299.10481865502715,20003
822509.4958223073,77.2716051436302,298.5467223391308,20003
825607.0952981138,77.47070890243856,297.9872267134059,20003
828704.7558566645,77.67004220409461,297.42712478380133,20003
537658.8578815238,37.30968538794838,-19.611294799795537,20005
539525.1131667447,36.81251339339928,-25.197704333192746,20005
539502.3298690717,36.77347212164423,-21.83564441091181,20005
539211.6591505556,36.870372102034636,-21.879384290161703,20005
538774.3780026959,36.98646957600174,-20.99207474629712,20005
538334.0074293275,37.11081331592509,-20.4203831221781,20005
537883.1513678828,37.235822644007044,-19.758307358635495,20005
537432.9581611156,37.36135956815518,-19.125452920613935,20005
536981.9734290991,37.48690120572491,-18.483978326049808,20005
536531.0979357937,37.61247940267489,-17.845224265863664,20005
536080.1584427231,37.73805505317837,-17.205653855655587,20005
535629.2316219661,37.863633460110265,-16.566337750348364,20005
601039.2916844968,70.65752372535559,-120.48871633688084,20010
604181.9089716508,70.79673046068906,-115.9235544250691,20010
602165.7211476242,70.984736959025,-117.71815155337316,20010
602195.0239981529,71.43574558777553,-116.87754955432773,20010
