median_listing_price,active_listing_count,netinflow
599900.0,46.0,-11.0
623450.0,39.0,-9.0
699900.0,34.0,-31.0
724450.0,34.0,3.0
722000.0,32.0,5.0
699000.0,28.0,5.0
604000.0,23.0,-7.0
599000.0,19.0,-11.0
629000.0,18.0,9.0
769000.0,18.0,18.0
764450.0,22.0,35.0
699900.0,21.0,-41.0
734450.0,17.0,5.0
675300.0,15.0,8.0
619000.0,13.0,-15.0
699900.0,20.0,-16.0
699900.0,22.0,-20.0
609500.0,19.0,-59.0
664450.0,17.0,-2.0
649990.0,15.0,-29.0
633425.0,14.0,-26.0
599900.0,15.0,-25.0
617447.5,15.0,-31.0
450000.0,28.0,40.0
599900.0,30.0,-21.0
594500.0,30.0,-9.0
599950.0,29.0,22.0
642000.0,31.0,28.0
635000.0,33.0,15.0
555000.0,30.0,-11.0
585000.0,29.0,-14.0
1209450.0,19.0,39.0
1249925.0,16.0,-16.0
1150000.0,14.0,4.0
1672250.0,17.0,36.0
1695000.0,18.0,23.0
1295000.0,23.0,-9.0
1089000.0,25.0,-22.0
1125000.0,22.0,13.0
1020000.0,23.0,37.0
1074450.0,34.0,4.0
1024450.0,31.0,-26.0
1250000.0,16.0,-9.0
1787500.0,12.0,-12.0
1050000.0,15.0,-17.0
1071000.0,19.0,0.0
1083500.0,23.0,-5.0
1025000.0,27.0,19.0
995000.0,31.0,-23.0
1147450.0,28.0,1.0
1199942.857142857,28.0,37.0
1189992.8571428573,27.0,32.0
1009000.0,29.0,1.0
1175000.0,26.0,41.0
1437450.0,19.0,19.0
1112500.0,16.0,25.0
1200000.0,13.0,27.0
1082500.0,18.0,-2.0
1299500.0,17.0,-5.0
879900.0,23.0,-7.0
827000.0,23.0,-1.0
899745.0,21.0,17.0
949000.0,25.0,30.0
757000.0,23.0,35.0
750000.0,26.0,34.0
737250.0,22.0,22.0
710450.0,17.0,-16.0
695900.0,12.0,5.0
837000.0,11.0,-1.0
1147000.0,12.0,13.0
1280000.0,17.0,26.0
1175000.0,19.0,-10.0
1170000.0,20.0,-35.0
1100000.0,20.0,25.0
1022000.0,20.0,33.0
980000.0,21.0,37.0
1100000.0,25.0,11.0
1197500.0,13.0,-14.0
1172500.0,10.0,16.0
547450.0,68.0,-27.0
647000.0,70.0,7.0
729000.0,92.0,-8.0
689000.0,98.0,-8.0
895000.0,106.0,-72.0
895000.0,115.0,-123.0
782450.0,121.0,-71.0
636500.0,109.0,61.0
689000.0,121.0,12.0
785500.0,123.0,-12.0
787000.0,123.0,18.0
725000.0,96.0,-24.0
699450.0,84.0,-19.0
769900.0,80.0,-32.0
915657.1428571428,78.0,-7.0
1050707.1428571427,80.0,9.0
1172500.0,90.0,-7.0
1199000.0,88.0,-97.0
1190000.0,85.0,-44.0
1069285.7142857143,83.0,-29.0
934285.7142857143,92.0,43.0
996500.0,97.0,-7.0
1079000.0,100.0,-9.0
844950.0,69.0,-36.0
883250.0,61.0,-16.0
849900.0,61.0,-22.0
1143950.0,65.0,-106.0
1325000.0,58.0,-60.0
1269000.0,70.0,-148.0
1189000.0,78.0,-127.0
995000.0,79.0,-92.0
995000.0,88.0,-74.0
1012500.0,86.0,-94.0
775000.0,95.0,0.0
699000.0,96.0,-45.0
674000.0,77.0,-47.0
655000.0,73.0,-63.0
404000.0,76.0,-18.0
369450.0,69.0,-13.0
399700.0,80.0,-11.0
399999.0,77.0,-27.0
479950.0,78.0,-134.0
412450.0,82.0,-29.0
384900.0,75.0,31.0
394950.0,101.0,25.0
475000.0,111.0,30.0
471200.0,96.0,-13.0
452200.0,76.0,-16.0
596995.0,26.0,62.0
612495.0,22.0,-12.0
594990.0,24.0,-18.0
614945.0,24.0,-45.0
589000.0,28.0,-33.0
592840.0,27.0,-30.0
599900.0,33.0,-4.0
587400.0,30.0,-38.0
585900.0,31.0,11.0
549900.0,39.0,18.0
570000.0,46.0,12.0
550000.0,42.0,-11.0
567450.0,37.0,-27.0
554900.0,30.0,11.0
582081.4285714285,29.0,11.0
624945.0,36.0,-58.0
592700.0,40.0,-21.0
599000.0,45.0,-3.0
576499.5,47.0,-29.0
664000.0,45.0,-17.0
744500.0,36.0,-23.0
699999.0,34.0,17.0
659900.0,33.0,18.0
679450.0,24.0,15.0
654950.0,21.0,6.0
625000.0,14.0,-3.0
652000.0,17.0,24.0
785000.0,22.0,-19.0
669900.0,25.0,-62.0
687450.0,23.0,-68.0
632450.0,19.0,-65.0
765000.0,14.0,-9.0
712000.0,24.0,-61.0
650000.0,23.0,-43.0
585000.0,28.0,-34.0
629950.0,28.0,-33.0
639900.0,26.0,4.0
579000.0,19.0,-10.0
582500.0,21.0,13.0
741150.0,19.0,-15.0
724900.0,24.0,-62.0
712000.0,29.0,-76.0
647200.0,36.0,-66.0
599450.0,39.0,-3.0
627250.0,44.0,9.0
649999.0,36.0,-2.0
642000.0,40.0,3.0
622000.0,32.0,-43.0
574950.0,41.0,7.0
560000.0,40.0,33.0
634900.0,40.0,38.0
672450.0,42.0,45.0
632400.0,43.0,-1.0
600000.0,43.0,59.0
602500.0,51.0,8.0
612477.5,49.0,3.0
649000.0,56.0,28.0
599450.0,63.0,-14.0
574900.0,67.0,-41.0
549990.0,57.0,-27.0
549900.0,52.0,-22.0
544450.0,60.0,4.0
598685.2857142857,62.0,22.0
669299.5,57.0,-8.0
674500.0,56.0,4.0
660000.0,58.0,71.0
644750.0,56.0,64.0
648071.4285714285,58.0,-8.0
645500.0,53.0,-8.0
604950.0,61.0,-6.0
599000.0,73.0,15.0
604750.0,57.0,12.0
674999.0,49.0,9.0
685000.0,46.0,-6.0
712400.0,47.0,-18.0
674000.0,54.0,22.0
650000.0,47.0,-9.0
684450.0,39.0,-14.0
657450.0,28.0,-26.0
665000.0,22.0,-23.0
649000.0,26.0,-27.0
639000.0,32.0,-9.0
665000.0,27.0,-20.0
657500.0,24.0,-49.0
650000.0,21.0,-13.0
599995.0,19.0,-4.0
662500.0,16.0,-16.0
670000.0,21.0,0.0
699999.0,18.0,15.0
700000.0,22.0,-34.0
702999.5,19.0,0.0
712450.0,25.0,24.0
700000.0,31.0,1.0
675000.0,42.0,-25.0
637450.0,40.0,11.0
674450.0,43.0,-23.0
299000.0,79.0,-37.0
292499.5,61.0,-43.0
315000.0,70.0,-19.0
317499.5,74.0,-97.0
324999.0,58.0,-13.0
350000.0,60.0,-62.0
359000.0,57.0,93.0
354500.0,55.0,-6.0
345999.0,60.0,-1.0
350000.0,85.0,-56.0
361950.0,86.0,-10.0
360000.0,91.0,-52.0
381800.0,80.0,-37.0
389950.0,78.0,-51.0
384642.85714285716,82.0,-65.0
378392.85714285716,91.0,-103.0
377450.0,105.0,-55.0
379900.0,110.0,-56.0
379950.0,102.0,-34.0
379285.2857142858,91.0,-21.0
391999.5,85.0,-97.0
410000.0,85.0,-32.0
414999.0,78.0,-18.0
382000.0,66.0,-68.0
381150.0,64.0,-77.0
398000.0,54.0,-97.0
415000.0,46.0,-138.0
362500.0,55.0,-93.0
399950.0,59.0,-124.0
404500.0,50.0,-58.0
404500.0,41.0,-81.0
429900.0,39.0,-59.0
399155.0,54.0,-95.0
375000.0,48.0,-92.0
372450.0,46.0,-132.0
378800.0,46.0,-122.0
425000.0,42.0,-146.0
419950.0,40.0,-100.0
399450.0,41.0,-81.0
389000.0,40.0,-103.0
445000.0,40.0,-99.0
423250.0,62.0,-99.0
409750.0,70.0,-131.0
479450.0,73.0,-119.0
474950.0,76.0,-114.0
449999.0,101.0,-113.0
449999.5,93.0,-53.0
449500.0,79.0,-64.0
249000.0,63.0,-92.0
249450.0,59.0,-62.0
299000.0,50.0,-93.0
300000.0,45.0,-113.0
299900.0,53.0,-115.0
330000.0,49.0,-27.0
349250.0,57.0,-52.0
349250.0,56.0,-88.0
310000.0,56.0,-107.0
374499.5,58.0,-66.0
406900.0,58.0,-64.0
409900.0,53.0,-108.0
391250.0,56.0,-75.0
359900.0,62.0,-145.0
365228.5714285714,61.0,-71.0
394778.5714285714,49.0,-21.0
427950.0,53.0,-49.0
439000.0,61.0,-13.0
425450.0,60.0,-65.0
416428.5714285714,63.0,-43.0
413428.5714285714,68.0,5.0
426500.0,75.0,-28.0
410000.0,63.0,-95.0
414999.5,65.0,-135.0
397499.5,64.0,-93.0
375000.0,51.0,-18.0
447900.0,47.0,-80.0
434250.0,59.0,-45.0
429997.0,60.0,-114.0
429748.5,56.0,-26.0
414500.0,54.0,-51.0
410000.0,53.0,-59.0
429948.5,54.0,-63.0
399000.0,45.0,-45.0
400000.0,49.0,-103.0
396500.0,45.0,-38.0
399000.0,41.0,-132.0
402000.0,36.0,-104.0
371200.0,33.0,-151.0
389000.0,30.0,-126.0
378000.0,40.0,-48.0
414500.0,50.0,-66.0
421750.0,57.0,-38.0
449999.0,61.0,-101.0
467900.0,76.0,-70.0
449999.0,77.0,-100.0
449500.0,82.0,-78.0
425000.0,69.0,-112.0
414950.0,26.0,54.0
407400.0,28.0,-6.0
399900.0,29.0,39.0
399450.0,43.0,27.0
382200.0,36.0,52.0
380000.0,38.0,25.0
369900.0,36.0,93.0
333945.0,28.0,48.0
325000.0,23.0,90.0
344450.0,29.0,-9.0
387450.0,29.0,-7.0
359900.0,26.0,-29.0
332500.0,28.0,17.0
332000.0,28.0,30.0
356671.4285714286,25.0,-1.0
383671.4285714286,26.0,-29.0
400000.0,25.0,51.0
400000.0,29.0,4.0
400000.0,30.0,12.0
395285.7142857143,31.0,19.0
430260.7142857143,39.0,-8.0
508950.0,39.0,36.0
499999.0,42.0,-29.0
498975.0,40.0,-24.0
497295.0,30.0,48.0
527500.0,37.0,-28.0
444500.0,37.0,-62.0
415000.0,40.0,-90.0
487900.0,41.0,-132.0
529500.0,34.0,-130.0
584950.0,29.0,-114.0
499000.0,41.0,-103.0
409900.0,52.0,-120.0
385000.0,71.0,-54.0
349500.0,75.0,-122.0
347450.0,73.0,-87.0
339999.0,61.0,-10.0
332450.0,65.0,20.0
314950.0,70.0,-31.0
323700.0,76.0,-18.0
339000.0,78.0,90.0
315000.0,70.0,129.0
323750.0,53.0,109.0
344950.0,56.0,143.0
349700.0,73.0,22.0
374000.0,84.0,-2.0
354900.0,85.0,-19.0
359450.0,76.0,-8.0
315450.0,31.0,17.0
313450.0,32.0,-70.0
315000.0,24.0,-23.0
322000.0,24.0,-18.0
300000.0,33.0,20.0
319000.0,34.0,-8.0
309500.0,35.0,11.0
299500.0,32.0,-31.0
295000.0,42.0,-86.0
307450.0,39.0,-84.0
315000.0,39.0,-30.0
345000.0,30.0,-48.0
358950.0,29.0,-72.0
362000.0,28.0,-29.0
355100.0,28.0,-36.0
344900.0,29.0,-45.0
337500.0,23.0,-73.0
340000.0,34.0,-16.0
292000.0,30.0,-47.0
289285.71428571426,23.0,-69.0
295000.0,24.0,-44.0
293950.0,22.0,-51.0
299000.0,24.0,-92.0
299500.0,20.0,-19.0
280000.0,19.0,-68.0
280000.0,22.0,-36.0
275000.0,22.0,-23.0
264700.0,21.0,-110.0
275000.0,32.0,-44.0
362500.0,33.0,-116.0
342500.0,27.0,-83.0
340000.0,28.0,-69.0
320000.0,27.0,-73.0
325000.0,27.0,-88.0
327000.0,27.0,-55.0
328700.0,21.0,-73.0
398000.0,21.0,-79.0
269375.0,27.0,-104.0
262500.0,29.0,-112.0
259450.0,29.0,-165.0
375000.0,32.0,-77.0
420000.0,46.0,-114.0
419500.0,47.0,-62.0
394500.0,45.0,-57.0
417500.0,42.0,-80.0
415000.0,41.0,-44.0
412497.5,46.0,-90.0
399900.0,44.0,-17.0
565000.0,27.0,-4.0
514500.0,30.0,-49.0
480000.0,27.0,-34.0
447500.0,31.0,-44.0
474500.0,31.0,-57.0
485000.0,38.0,-45.0
475000.0,46.0,-26.0
467450.0,44.0,5.0
460000.0,55.0,23.0
474900.0,62.0,-18.0
472450.0,56.0,-5.0
499500.0,51.0,1.0
639901.5,38.0,-46.0
599900.0,31.0,-4.0
535228.5714285714,31.0,-30.0
562728.5714285714,32.0,-36.0
699000.0,37.0,-77.0
594900.0,41.0,-14.0
502000.0,36.0,-38.0
484428.5714285714,35.0,-59.0
519878.5714285714,28.0,-25.0
574900.0,33.0,-24.0
599900.0,35.0,-32.0
649450.0,33.0,21.0
612450.0,21.0,-15.0
573000.0,17.0,-22.0
675000.0,14.0,-217.0
599900.0,17.0,-144.0
549000.0,20.0,-107.0
392000.0,20.0,-106.0
450000.0,22.0,-126.0
450000.0,25.0,-153.0
424950.0,41.0,-129.0
399900.0,58.0,-111.0
399900.0,65.0,-121.0
407450.0,57.0,-145.0
429900.0,48.0,-99.0
409950.0,51.0,-76.0
429950.0,54.0,-63.0
427500.0,50.0,-60.0
399900.0,54.0,-74.0
382400.0,58.0,-19.0
397000.0,54.0,-24.0
349000.0,52.0,-52.0
349450.0,50.0,-26.0
389900.0,41.0,-71.0
399450.0,42.0,-62.0
370000.0,26.0,-41.0
1244000.0,48.0,-13.0
1289000.0,54.0,5.0
1289000.0,60.0,-2.0
927000.0,84.0,-42.0
995000.0,88.0,-94.0
945000.0,84.0,-62.0
934000.0,67.0,-86.0
999999.0,73.0,-80.0
775000.0,85.0,-4.0
757000.0,96.0,-18.0
699900.0,95.0,-48.0
799000.0,79.0,-39.0
807000.0,68.0,-36.0
1110000.0,64.0,-15.0
1129285.7142857143,64.0,-68.0
975000.0,68.0,-9.0
1252950.0,73.0,-104.0
950000.0,82.0,-168.0
907400.0,79.0,-84.0
964228.5714285714,77.0,-86.0
961778.5714285714,74.0,-34.0
849000.0,75.0,-39.0
800000.0,77.0,-14.0
800000.0,65.0,-60.0
835000.0,66.0,-36.0
899900.0,72.0,-60.0
1120000.0,79.0,-127.0
874450.0,67.0,-115.0
950000.0,73.0,-159.0
939000.0,90.0,-144.0
940000.0,88.0,-90.0
899000.0,105.0,-193.0
797000.0,118.0,-157.0
795000.0,136.0,-117.0
812500.0,130.0,-106.0
837000.0,123.0,-139.0
829000.0,109.0,-87.0
749000.0,124.0,-70.0
729000.0,144.0,-90.0
734000.0,139.0,-70.0
675000.0,139.0,-128.0
675000.0,142.0,-101.0
600000.0,133.0,-59.0
575400.0,116.0,0.0
594500.0,134.0,0.0
649000.0,148.0,-12.0
619000.0,134.0,-42.0
587000.0,115.0,-65.0
687033.0,150.0,110.0
695847.5,168.0,74.0
717245.0,163.0,99.0
709990.0,176.0,119.0
727450.0,172.0,150.0
724990.0,172.0,186.0
704990.0,179.0,137.0
697495.0,172.0,136.0
709990.0,137.0,174.0
706995.0,115.0,145.0
720492.5,104.0,139.0
724990.0,97.0,112.0
742992.5,80.0,83.0
748497.5,81.0,125.0
742564.2857142857,91.0,136.0
729995.0,97.0,111.0
729990.0,112.0,86.0
733995.0,100.0,182.0
744450.0,92.0,184.0
760704.2857142857,86.0,182.0
774990.0,82.0,87.0
776495.0,73.0,116.0
777990.0,64.0,89.0
799990.0,50.0,88.0
802490.0,47.0,92.0
809990.0,51.0,64.0
